"YEAR","NESPP4","NESPP3","NUMLEN","LENGTH"
2015,"4460","446",1,27
2015,"4460","446",6,29
2015,"4460","446",17,30
2015,"4460","446",26,31
2015,"4460","446",10,32
2015,"4460","446",2,33
2015,"4460","446",1,45
2015,"4460","446",1,52
2015,"4461","446",2,58
2015,"4461","446",10,59
2015,"4461","446",18,60
2015,"4461","446",46,61
2015,"4461","446",78,62
2015,"4461","446",80,63
2015,"4461","446",89,64
2015,"4461","446",113,65
2015,"4461","446",96,66
2015,"4461","446",123,67
2015,"4461","446",85,68
2015,"4461","446",85,69
2015,"4461","446",82,70
2015,"4461","446",81,71
2015,"4461","446",93,72
2015,"4461","446",76,73
2015,"4461","446",76,74
2015,"4461","446",59,75
2015,"4461","446",58,76
2015,"4461","446",56,77
2015,"4461","446",49,78
2015,"4461","446",40,79
2015,"4461","446",41,80
2015,"4461","446",28,81
2015,"4461","446",31,82
2015,"4461","446",16,83
2015,"4461","446",21,84
2015,"4461","446",9,85
2015,"4461","446",13,86
2015,"4461","446",5,87
2015,"4461","446",8,88
2015,"4461","446",7,89
2015,"4461","446",7,90
2015,"4461","446",1,91
2015,"4461","446",1,92
2015,"4461","446",1,94
2015,"4461","446",1,96
2015,"4462","446",1,41
2015,"4462","446",1,43
2015,"4462","446",5,44
2015,"4462","446",7,45
2015,"4462","446",12,46
2015,"4462","446",38,47
2015,"4462","446",61,48
2015,"4462","446",117,49
2015,"4462","446",196,50
2015,"4462","446",218,51
2015,"4462","446",223,52
2015,"4462","446",235,53
2015,"4462","446",197,54
2015,"4462","446",154,55
2015,"4462","446",94,56
2015,"4462","446",56,57
2015,"4462","446",27,58
2015,"4462","446",9,59
2015,"4462","446",1,60
2015,"4462","446",3,61
2015,"4462","446",1,63
2015,"4463","446",4,39
2015,"4463","446",7,40
2015,"4463","446",7,41
2015,"4463","446",21,42
2015,"4463","446",30,43
2015,"4463","446",53,44
2015,"4463","446",49,45
2015,"4463","446",54,46
2015,"4463","446",43,47
2015,"4463","446",25,48
2015,"4463","446",9,49
2015,"4463","446",5,50
2015,"4464","446",4,31
2015,"4464","446",2,32
2015,"4464","446",1,33
2015,"4464","446",3,34
2015,"4464","446",1,35
2015,"4464","446",3,37
2015,"4464","446",6,38
2015,"4464","446",12,39
2015,"4464","446",27,40
2015,"4464","446",45,41
2015,"4464","446",76,42
2015,"4464","446",76,43
2015,"4464","446",96,44
2015,"4464","446",113,45
2015,"4464","446",130,46
2015,"4464","446",193,47
2015,"4464","446",189,48
2015,"4464","446",163,49
2015,"4464","446",112,50
2015,"4464","446",48,51
2015,"4464","446",23,52
2015,"4464","446",4,53
2015,"4464","446",4,54
2015,"4464","446",2,55
2015,"4464","446",1,56
2015,"4465","446",2,82
2015,"4465","446",4,83
2015,"4465","446",9,84
2015,"4465","446",14,85
2015,"4465","446",12,86
2015,"4465","446",11,87
2015,"4465","446",11,88
2015,"4465","446",18,89
2015,"4465","446",12,90
2015,"4465","446",15,91
2015,"4465","446",13,92
2015,"4465","446",14,93
2015,"4465","446",5,94
2015,"4465","446",9,95
2015,"4465","446",7,96
2015,"4465","446",7,97
2015,"4465","446",8,98
2015,"4465","446",6,99
2015,"4465","446",13,100
2015,"4465","446",9,101
2015,"4465","446",8,102
2015,"4465","446",11,103
2015,"4465","446",13,104
2015,"4465","446",4,105
2015,"4465","446",4,106
2015,"4465","446",5,108
2015,"4465","446",1,109
2015,"4465","446",2,110
2015,"4465","446",2,111
2015,"4468","446",1,33
2015,"4468","446",1,35
2015,"4468","446",3,36
2015,"4468","446",3,37
2015,"4468","446",5,38
2015,"4468","446",11,39
2015,"4468","446",32,40
2015,"4468","446",29,41
2015,"4468","446",16,42
2015,"4468","446",1,45
2015,"4469","446",2,50
2015,"4469","446",3,51
2015,"4469","446",5,52
2015,"4469","446",17,53
2015,"4469","446",37,54
2015,"4469","446",83,55
2015,"4469","446",167,56
2015,"4469","446",175,57
2015,"4469","446",202,58
2015,"4469","446",173,59
2015,"4469","446",153,60
2015,"4469","446",98,61
2015,"4469","446",66,62
2015,"4469","446",42,63
2015,"4469","446",11,64
2015,"4469","446",2,65
