"NESPP4","MARKET_CODE","MARKET_DESC"
"4460","MX","MIXED OR UNSIZED"
"4460","UN","UNCLASSIFIED"
"4461","LG","LARGE"
"4462","MD","MEDIUM OR SELECT"
"4463","SQ","SMALL"
"4464","KT","KITTENS"
"4465","XG","EXTRA LARGE"
"4468","ES","EXTRA SMALL"
"4469","LE","LARGE-MEDIUM (NOT MIXED)"
